?intervention	?interventionLabel
<http://www.wikidata.org/entity/Q2025>	"carbon monoxide"@en
<http://www.wikidata.org/entity/Q3515>	"(RS)-rabeprazole"@en
<http://www.wikidata.org/entity/Q7739>	"arsenic trioxide"@en
<http://www.wikidata.org/entity/Q153>	"ethanol"@en
<http://www.wikidata.org/entity/Q18936>	"doxorubicin"@en
<http://www.wikidata.org/entity/Q8366>	"algorithm"@en
<http://www.wikidata.org/entity/Q9530>	"breathing"@en
<http://www.wikidata.org/entity/Q12140>	"medication"@en
<http://www.wikidata.org/entity/Q18939>	"azathioprine"@en
<http://www.wikidata.org/entity/Q11016>	"technology"@en
<http://www.wikidata.org/entity/Q12187>	"antibiotic"@en
<http://www.wikidata.org/entity/Q19161>	"hemagglutinin"@en
<http://www.wikidata.org/entity/Q19484>	"metformin"@en
<http://www.wikidata.org/entity/Q1057>	"metabolism"@en
<http://www.wikidata.org/entity/Q18216>	"aspirin"@en
<http://www.wikidata.org/entity/Q23767>	"calcium carbonate"@en
<http://www.wikidata.org/entity/Q26272>	"atropine"@en
<http://www.wikidata.org/entity/Q26963>	"progesterone"@en
<http://www.wikidata.org/entity/Q31030>	"xylometazoline"@en
<http://www.wikidata.org/entity/Q29417>	"tretinoin"@en
<http://www.wikidata.org/entity/Q30612>	"clinical trial"@en
<http://www.wikidata.org/entity/Q32089>	"sirolimus"@en
<http://www.wikidata.org/entity/Q41576>	"cocaine"@en
<http://www.wikidata.org/entity/Q20994>	"nimesulide"@en
<http://www.wikidata.org/entity/Q23118>	"lysergic acid diethylamide"@en
<http://www.wikidata.org/entity/Q42038>	"maleic acid"@en
<http://www.wikidata.org/entity/Q44944>	"tegaserod"@en
<http://www.wikidata.org/entity/Q116269>	"silicon dioxide"@en
<http://www.wikidata.org/entity/Q118551>	"clarithromycin"@en
<http://www.wikidata.org/entity/Q57055>	"paracetamol"@en
<http://www.wikidata.org/entity/Q58614>	"loxapine"@en
<http://www.wikidata.org/entity/Q58713>	"clomipramine"@en
<http://www.wikidata.org/entity/Q29310>	"tropicamide"@en
<http://www.wikidata.org/entity/Q59412>	"tolfenamic acid"@en
<http://www.wikidata.org/entity/Q60168>	"heroin"@en
<http://www.wikidata.org/entity/Q60235>	"caffeine"@en
<http://www.wikidata.org/entity/Q44931>	"sarpogrelate"@en
<http://www.wikidata.org/entity/Q69488>	"MDMA"@en
<http://www.wikidata.org/entity/Q61233>	"histamine"@en
<http://www.wikidata.org/entity/Q155954>	"tenofovir"@en
<http://www.wikidata.org/entity/Q45044>	"magnesium citrate"@en
<http://www.wikidata.org/entity/Q45050>	"tenoxicam"@en
<http://www.wikidata.org/entity/Q45816>	"Boswellic acid"@en
<http://www.wikidata.org/entity/Q46994>	"telehealth"@en
<http://www.wikidata.org/entity/Q47512>	"acetic acid"@en
<http://www.wikidata.org/entity/Q48196>	"stem cell"@en
<http://www.wikidata.org/entity/Q52353>	"benzyl alcohol"@en
<http://www.wikidata.org/entity/Q48832>	"tea tree oil"@en
<http://www.wikidata.org/entity/Q55434>	"pethidine"@en
<http://www.wikidata.org/entity/Q158348>	"alpha-tocopherol"@en
<http://www.wikidata.org/entity/Q126440>	"motilin"@en
<http://www.wikidata.org/entity/Q125083>	"atrasentan"@en
<http://www.wikidata.org/entity/Q127060>	"folic acid"@en
<http://www.wikidata.org/entity/Q130365>	"riboflavin"@en
<http://www.wikidata.org/entity/Q132501>	"glycerol"@en
<http://www.wikidata.org/entity/Q132621>	"epinephrine"@en
<http://www.wikidata.org/entity/Q134658>	"niacin"@en
<http://www.wikidata.org/entity/Q39111>	"nifedipine"@en
<http://www.wikidata.org/entity/Q139195>	"calcitriol"@en
<http://www.wikidata.org/entity/Q139307>	"calcifediol"@en
<http://www.wikidata.org/entity/Q139347>	"cholecalciferol"@en
<http://www.wikidata.org/entity/Q58396>	"imipramine"@en
<http://www.wikidata.org/entity/Q181003>	"L-Tryptophan"@en
<http://www.wikidata.org/entity/Q58397>	"amitriptyline"@en
<http://www.wikidata.org/entity/Q181354>	"biotin"@en
<http://www.wikidata.org/entity/Q81225>	"morphine"@en
<http://www.wikidata.org/entity/Q183011>	"arginine vasopressin"@en
<http://www.wikidata.org/entity/Q167934>	"serotonin"@en
<http://www.wikidata.org/entity/Q183206>	"vitamin B"@en
